site_code,name,city,state,county,ugc_codes,latitude,longitude,region
2703,Anchorage Testing Center,Anchorage,AK,Anchorage,["AKZ701","AKC020"],61.1456800,-149.8707200,Alaska
2613,Auburn Testing Center,Auburn,AL,Lee,["ALZ047","ALC081"],32.6046800,-85.4839900,Southeast
5123,Birmingham Testing Center,Birmingham,AL,Jefferson,["ALZ024","ALC073"],33.4772500,-86.8204800,Southeast
2612,Dothan Testing Center,Dothan,AL,Houston,["ALZ069","ALC069"],31.2048200,-85.4280800,Southeast
2618,Huntsville Testing Center,Huntsville,AL,Madison,["ALZ006","ALC089"],34.7113600,-86.6671500,Southeast
2601,Mobile Testing Center,Mobile,AL,Mobile,["ALZ263","ALC097"],30.6620500,-88.1912800,Southeast
2801,Fort Smith Testing Center,Fort Smith,AR,Sebastian,["ARZ029","ARC131"],35.3593500,-94.3705300,South Central
5308,Hot Springs Testing Center,Hot Springs,AR,Clark,["ARZ053","ARC019"],34.1264900,-93.0562500,South Central
5212,Little Rock Testing Center,Little Rock,AR,Pulaski,["ARZ044","ARC119"],34.7490500,-92.3949000,South Central
0419,Flagstaff Testing Center,Flagstaff,AZ,Coconino,["AZZ015","AZC005"],35.1782300,-111.6554800,Southwest
5143,Mesa Testing Center,Mesa,AZ,Maricopa,["AZZ546","AZC013"],33.4437000,-111.9599600,Southwest
0417,Phoenix West Testing Center,Phoenix,AZ,Maricopa,["AZZ540","AZC013"],33.4503500,-112.3555400,Southwest
0074,Phoenix Testing Center,Phoenix,AZ,Maricopa,["AZZ543","AZC013"],33.5096200,-112.1011400,Southwest
0404,Tucson Testing Center,Tucson,AZ,Pima,["AZZ504","AZC019"],32.2437100,-110.8926400,Southwest
0400,Yuma Testing Center,Yuma,AZ,Yuma,["AZZ532","AZC027"],32.6949300,-114.6225800,Southwest
0544,Bakersfield Testing Center,Bakersfield,CA,Kern,["CAZ314","CAC029"],35.3875000,-119.0222500,West
5152,Fresno Testing Center,Fresno,CA,Fresno,["CAZ307","CAC019"],36.8091300,-119.8384400,West
0513,Irvine Testing Center,Irvine,CA,Orange,["CAZ554","CAC059"],33.5637200,-117.6669000,West
0001,Los Angeles Testing Center,Los Angeles,CA,Los Angeles,["CAZ368","CAC037"],33.9896000,-118.3794900,West
0540,Modesto Testing Center,Modesto,CA,San Joaquin,["CAZ018","CAC077"],37.9866100,-121.3535900,West
0067,Oakland Testing Center,Oakland,CA,Alameda,["CAZ508","CAC001"],37.7267900,-122.2361200,West
0533,Ontario Testing Center,Ontario,CA,Los Angeles,["CAZ548","CAC037"],34.0000800,-117.8096600,West
0081,Riverside Testing Center,Riverside,CA,Orange,["CAZ554","CAC059"],33.8622000,-117.8136500,West
0053,Sacramento Testing Center,Sacramento,CA,Sacramento,["CAZ017","CAC067"],38.6628900,-121.2757500,West
0531,San Bernardino Testing Center,San Bernardino,CA,San Bernardino,["CAZ048","CAC071"],34.1199500,-117.6157700,West
0525,San Diego Testing Center,San Diego,CA,San Diego,["CAZ043","CAC073"],32.8525200,-117.1847300,West
5849,San Francisco Testing Center,San Francisco,CA,San Francisco,["CAZ006","CAC075"],37.7937700,-122.3980200,West
0014,San Jose Testing Center,San Jose,CA,Santa Clara,["CAZ513","CAC085"],37.3879000,-121.9293300,West
0522,Santa Barbara Testing Center,Santa Barbara,CA,Ventura,["CAZ355","CAC111"],34.2168600,-119.0779000,West
0515,Santa Rosa Testing Center,Santa Rosa,CA,Sonoma,["CAZ506","CAC097"],38.4582300,-122.7347400,West
1201,Boulder Testing Center,Boulder,CO,Boulder,["COZ039","COC013"],40.1525400,-105.1044300,Mountain
5116,Colorado Springs Testing Center,Colorado Springs,CO,El Paso,["COZ085","COC041"],38.8712700,-104.7591000,Mountain
0054,Denver Testing Center,Denver,CO,Arapahoe,["COZ040","COC005"],39.6090100,-104.9046600,Mountain
5307,Grand Junction Testing Center,Grand Junction,CO,Mesa,["COZ006","COC077"],39.0778100,-108.5529500,Mountain
0048,Hartford Testing Center,Hartford,CT,Hartford,["CTZ002","CTC003"],41.7168100,-72.5965400,Northeast
2401,New Haven Testing Center,New Haven,CT,New Haven,["CTZ006","CTC009"],41.3960700,-72.8570200,Northeast
2416,Norwalk Testing Center,Norwalk,CT,Fairfield,["CTZ009","CTC001"],41.1265800,-73.3880600,Northeast
0062,Washington DC Testing Center,Washington,DC,District of Columbia,["DCZ001","DCC001"],38.9029100,-77.0378200,Mid-Atlantic
5130,Newark Testing Center,Newark,DE,New Castle,["DEZ001","DEC003"],39.6894000,-75.6074800,Mid-Atlantic
0603,Boca Raton Testing Center,Boca Raton,FL,Palm Beach,["FLZ168","FLC099"],26.7256800,-80.0817100,Southeast
0622,Daytona Beach Testing Center,Daytona Beach,FL,Volusia,["FLZ141","FLC127"],29.2220000,-81.0944800,Southeast
0610,Fort Lauderdale Testing Center,Fort Lauderdale,FL,Broward,["FLZ072","FLC011"],26.0518400,-80.1692900,Southeast
5022,Fort Myers Testing Center,Fort Myers,FL,Lee,["FLZ265","FLC071"],26.6034700,-81.8509900,Southeast
0629,Gainesville Testing Center,Gainesville,FL,Alachua,["FLZ136","FLC001"],29.6590000,-82.3944500,Southeast
0601,Jacksonville Testing Center,Jacksonville,FL,Duval,["FLZ125","FLC031"],30.1587900,-81.5137000,Southeast
0382,Miami Beach Testing Center,Miami Beach,FL,Miami-Dade,["FLZ074","FLC086"],25.8772400,-80.2457300,Southeast
0080,Orlando Testing Center,Orlando,FL,Seminole,["FLZ046","FLC117"],28.6853800,-81.3951400,Southeast
0606,St. Petersburg Testing Center,St. Petersburg,FL,Sarasota,["FLZ160","FLC115"],27.3371600,-82.5377600,Southeast
0617,Tallahassee Testing Center,Tallahassee,FL,Leon,["FLZ017","FLC073"],30.4919600,-84.2422600,Southeast
5006,Tampa Testing Center,Tampa,FL,Hillsborough,["FLZ151","FLC057"],27.9430000,-82.5351000,Southeast
5134,West Palm Beach Testing Center,West Palm Beach,FL,Palm Beach,["FLZ168","FLC099"],26.3686300,-80.1049700,Southeast
5809,Athens Testing Center,Athens,GA,Clarke,["GAZ036","GAC059"],33.9488200,-83.3774500,Southeast
0024,Atlanta Testing Center,Atlanta,GA,Cobb,["GAZ032","GAC067"],33.8975300,-84.4841000,Southeast
5142,Augusta Testing Center,Augusta,GA,Richmond,["GAZ065","GAC245"],33.4877000,-82.0836400,Southeast
5002,Columbus Testing Center,Columbus,GA,Muscogee,["GAZ089","GAC215"],32.4990300,-84.9448300,Southeast
3001,Gainesville Testing Center,Gainesville,GA,Lumpkin,["GAZ015","GAC187"],34.5303900,-83.9876100,Southeast
3012,Macon Testing Center,Macon,GA,Bibb,["GAZ082","GAC021"],32.8910900,-83.6798600,Southeast
3007,Savannah Testing Center,Savannah,GA,Chatham,["GAZ119","GAC051"],32.0081900,-81.1071100,Southeast
3024,Valdosta Testing Center,Valdosta,GA,Lowndes,["GAZ160","GAC185"],30.8706000,-83.2837700,Southeast
5504,Guam Testing Center,Tamuning,GU,Guam,["GUZ001","GUC010"],13.5091400,144.8202500,Pacific
3106,Honolulu Testing Center,Honolulu,HI,Oahu in Honolulu,["HIZ033","HIC003"],21.3084000,-157.8605600,Pacific
3305,Cedar Rapids Testing Center,Cedar Rapids,IA,Linn,["IAZ052","IAC113"],42.0508400,-91.6851200,Midwest
3309,Des Moines Testing Center,Des Moines,IA,Dallas,["IAZ059","IAC049"],41.5874800,-93.8060300,Midwest
3306,Sioux City Testing Center,Sioux City,IA,Woodbury,["IAZ031","IAC193"],42.4002100,-96.3600600,Midwest
2002,Boise Testing Center,Boise,ID,Ada,["IDZ014","IDC001"],43.5962000,-116.3779000,Mountain
5004,Pocatello Testing Center,Pocatello,ID,Bannock,["IDZ054","IDC005"],42.8666300,-112.4267400,Mountain
3003,Bloomington Testing Center,Bloomington,IL,Champaign,["ILZ045","ILC019"],40.1156300,-88.2631600,Midwest
3230,Champaign Testing Center,Champaign,IL,Macon,["ILZ053","ILC115"],39.8915500,-88.9393600,Midwest
3251,Chicago Testing Center,Chicago,IL,Cook,["ILZ104","ILC031"],41.8823300,-87.6319900,Midwest
3301,Moline Testing Center,Moline,IL,Scott,["IAZ068","IAC163"],41.5364100,-90.5181200,Midwest
3201,Naperville Testing Center,Naperville,IL,De Kalb,["ILZ011","ILC037"],41.9669200,-88.7113500,Midwest
3207,Peoria Testing Center,Peoria,IL,Peoria,["ILZ029","ILC143"],40.7830900,-89.6208400,Midwest
1807,Evansville Testing Center,Evansville,IN,Vanderburgh,["INZ086","INC163"],37.9637700,-87.4966800,Midwest
1816,Fort Wayne Testing Center,Fort Wayne,IN,Allen,["INZ018","INC003"],41.1233300,-85.0957800,Midwest
