zip,name,city,state,latitude,longitude,region,county,ugc_codes,cwa
99571,Cold Bay Airport,Cold Bay,AK,55.2014611,-162.7198441,Alaska,Aleutians East Borough,,
36775,Craig Field,Belknap,AL,32.3432779,-86.988313,Southeast,Dallas County,,
72634,Marion County Regional Airport,Flippin,AR,36.292153,-92.587468,South Central,Marion County,,
86404,Lake Havasu City Airport,Lake Havasu City,AZ,34.5713704,-114.3567394,Southwest,Mohave County,,
96025,Dunsmuir Municipal-Mott Airport,Dunsmuir,CA,41.2639,-122.2724,West,Siskiyou County,,
32692,Aeropuerto Internacional Abraham González,Juárez,CH,31.6384854,-106.4269223,,,,
81428,North Fork Valley Airport,Hotchkiss,CO,38.8317586,-107.6458713,Mountain,Delta County,,
06114,Hartford–Brainard Airport,Hartford,CT,41.7378457,-72.6523096,Northeast,Capitol Planning Region,,
19902,Dover Air Force Base,Dover,DE,39.1282443,-75.4693077,Mid-Atlantic,Kent County,,
33037,Ocean Reef Club Airport,Key Largo,FL,25.3229581,-80.276666,Southeast,,,
31788,Spence Airport,Moultrie,GA,31.1376869,-83.7040599,Southeast,Colquitt County,,
96729,Molokai Airport,Kualapuu,HI,21.1529559,-157.0949324,Pacific,Maui County,,
50022,Atlantic Municipal Airport,Washington Township,IA,41.4072,-95.0468,Midwest,Cass County,,
83638,McCall Municipal Airport,McCall,ID,44.8940661,-116.100255,Mountain,Valley County,,
62801,Centralia Municipal Airport,Centralia,IL,38.5147713,-89.092013,Midwest,Marion County,,
46706,DeKalb County Airport,St. Joe,IN,41.3086337,-85.064942,Midwest,DeKalb County,,
67058,Anthony Municipal Airport,Anthony,KS,37.1555435,-98.0787537,Midwest,Harper County,,
42141,Glasgow Municipal Airport,Glasgow,KY,37.0318336,-85.952066,Southeast,Barren County,,
70602,Chennault International Airport,Lake Charles,LA,30.2108979,-93.1449929,South Central,Calcasieu Parish,,
01082,Ware Airport,Ware,MA,42.2809643,-72.2165524,Northeast,,,
20684,Naval Outlying Field Webster,Saint Inigoes Shores,MD,38.1459597,-76.4285623,Mid-Atlantic,Saint Mary's County,,
04901,Waterville Robert LaFleur Airport,Waterville,ME,44.5328806,-69.6761276,Northeast,Kennebec County,,
48801,Gratiot Community Airport,Arcada Township,MI,43.3235438,-84.6882467,Midwest,Gratiot County,,
56623,Baudette International Airport,Baudette,MN,48.7232658,-94.6044845,Midwest,Lake of the Woods County,,
65084,Ray Otten Memorial Airfield,Stover,MO,38.4281224,-92.8735622,Midwest,Morgan County,,
39648,McComb-Pike County Airport,Magnolia,MS,31.1765657,-90.4689865,Southeast,Pike County,,
59710,Havre City/County Airport,Herron,MT,48.543,-109.7624,Mountain,Hill County,,
27889,Washington-Warren Airport,Washington,NC,35.5701475,-77.0492362,Southeast,Beaufort County,,
58105,Hector International Airport,Fargo,ND,46.9215485,-96.8142328,Midwest,Cass County,,
68922,Arapahoe Municipal Airport,Arapahoe,NE,40.3379112,-99.9061714,Midwest,,,
03784,Lebanon Municipal Airport,West Lebanon,NH,43.6224664,-72.3014996,Northeast,,,
08741,Terminal Ocean County,Berkeley Township,NJ,39.9376182,-74.1545839,Mid-Atlantic,Ocean County,,
87544,Los Alamos Airport,Los Alamos,NM,35.8808905,-106.270834,Southwest,,,
89406,Naval Air Station Fallon (Van Voorhis Field),Fallon,NV,39.4130785,-118.692588,West,Churchill County,,
13045,Cortland County Airport-Chase Field,Munsons Corners,NY,42.5925704,-76.2143742,Mid-Atlantic,Cortland County,,
45710,Gordon K. Bush Ohio University Regional Airport,Albany,OH,39.2116891,-82.2281889,Midwest,,,
73401,Ardmore Downtown Executive Airport,Ardmore,OK,34.1470396,-97.1227915,South Central,Carter County,,
97554,Prineville Airport,Prineville,OR,44.2869,-120.9035,West,Crook County,,
17325,Gettysburg Regional Airport,Cumberland Township,PA,39.8427732,-77.2742862,Mid-Atlantic,Adams County,,
02891,Westerly State Airport,Westerly,RI,41.3488095,-71.8048282,Northeast,South County,,
29582,Grand Strand Airport,North Myrtle Beach,SC,33.8112835,-78.7233511,Southeast,Horry County,,
57104,Sioux Falls Regional Airport,Sioux Falls,SD,43.5826729,-96.7430112,Midwest,,,
37347,Marion County Airport-Brown Field,East Hill,TN,35.0603552,-85.5855218,Southeast,Marion County,,
76305,Wichita Falls Regional Airport,Wichita Falls,TX,33.9854326,-98.4926831,South Central,Wichita County,,
84122,Salt Lake City International Airport,Salt Lake City,UT,40.7897483,-111.9783736,Mountain,,,
23337,Wallops Flight Facility Airport,Wallops Island,VA,37.9417901,-75.4621455,Mid-Atlantic,,,
05403,Patrick Leahy Burlington International Airport,Burlington,VT,44.472923,-73.1544798,Northeast,,,
98925,Easton State Airport,Easton,WA,47.2539921,-121.185646,West,Kittitas County,,
54001,Amery Municipal Airport,Amery,WI,45.2810737,-92.3751927,Midwest,Polk County,,
24701,Mercer County Airport,Bluefield,WV,37.2949004,-81.2080058,Mid-Atlantic,Mercer County,,
82331,Shively Field,Saratoga,WY,41.4439801,-106.828107,Mountain,Carbon County,,
99785,Brevig Mission Airport,Brevig Mission,AK,65.331951,-166.470379,Alaska,Unorganized Borough,,
35442,George Downer Airport,Aliceville,AL,33.1064655,-88.1978027,Southeast,Pickens County,,
72761,Smith Field,Siloam Springs,AR,36.1903579,-94.490772,South Central,Benton County,,
85024,Phoenix Deer Valley Airport,Phoenix,AZ,33.6899439,-112.0826881,Southwest,,,
