zip,name,city,state,latitude,longitude,region,county,ugc_codes,cwa
20147,DC-East-01 (Ashburn),Ashburn,VA,39.0438,-77.4874,US-East,Loudoun,,
20148,DC-East-02 (Ashburn),Ashburn,VA,39.0335,-77.5085,US-East,Loudoun,,
20171,DC-East-03 (Herndon),Herndon,VA,38.9696,-77.3861,US-East,Fairfax,,
20176,DC-East-04 (Leesburg),Leesburg,VA,39.1157,-77.5636,US-East,Loudoun,,
07094,DC-East-05 (Secaucus),Secaucus,NJ,40.7896,-74.0565,US-East,Hudson,,
10005,DC-East-06 (Manhattan),New York,NY,40.7069,-74.0089,US-East,New York,,
30076,DC-East-07 (Atlanta),Roswell,GA,34.0232,-84.3616,US-East,Fulton,,
33186,DC-East-08 (Miami),Miami,FL,25.6801,-80.3659,US-East,Miami-Dade,,
60605,DC-Central-01 (Chicago),Chicago,IL,41.8676,-87.6170,US-Central,Cook,,
60143,DC-Central-02 (Elk Grove),Elk Grove Village,IL,42.0051,-87.9706,US-Central,Cook,,
75247,DC-Central-03 (Dallas),Dallas,TX,32.8083,-96.8600,US-Central,Dallas,,
75024,DC-Central-04 (Plano),Plano,TX,33.0725,-96.7966,US-Central,Collin,,
78247,DC-Central-05 (San Antonio),San Antonio,TX,29.5431,-98.4154,US-Central,Bexar,,
77084,DC-Central-06 (Houston),Houston,TX,29.8272,-95.6528,US-Central,Harris,,
55112,DC-Central-07 (Minneapolis),Arden Hills,MN,45.0577,-93.1671,US-Central,Ramsey,,
68046,DC-Central-08 (Omaha),Papillion,NE,41.1544,-96.0422,US-Central,Sarpy,,
43229,DC-Central-09 (Columbus),Columbus,OH,40.0809,-82.9536,US-Central,Franklin,,
85281,DC-West-01 (Phoenix),Tempe,AZ,33.4255,-111.9400,US-West,Maricopa,,
85284,DC-West-02 (Chandler),Chandler,AZ,33.3062,-111.8413,US-West,Maricopa,,
95054,DC-West-03 (Santa Clara),Santa Clara,CA,37.3541,-121.9552,US-West,Santa Clara,,
95131,DC-West-04 (San Jose),San Jose,CA,37.3768,-121.8890,US-West,Santa Clara,,
98052,DC-West-05 (Redmond),Redmond,WA,47.6740,-122.1215,US-West,King,,
97070,DC-West-06 (Hillsboro),Wilsonville,OR,45.2998,-122.7731,US-West,Clackamas,,
89074,DC-West-07 (Las Vegas),Henderson,NV,36.0395,-115.0004,US-West,Clark,,
84104,DC-West-08 (Salt Lake City),Salt Lake City,UT,40.7499,-111.9215,US-West,Salt Lake,,
90245,DC-West-09 (El Segundo),El Segundo,CA,33.9192,-118.4165,US-West,Los Angeles,,
