zip,name,city,state,latitude,longitude,region,county,ugc_codes,cwa
46383,49'er Drive-In Theater,Valparaiso,IN,41.5325202,-87.0344334,Midwest,,,
62711,Route 66 Drive In,Springfield,IL,39.73967,-89.6783111,Midwest,,,
04072,The Saco Drive-In,Saco,ME,43.550255,-70.4063264,Northeast,,,
24588,29 Drive In,Rustburg,VA,37.2933335,-79.1712065,Mid-Atlantic,,,
47460,Cinema 67 Drive-In,Spencer,IN,39.3571731,-86.7316465,Midwest,,,
21220,Bengies Drive-In Theatre,Dundalk,MD,39.3361815,-76.4041975,Mid-Atlantic,Baltimore County,,
33572,Ruskin Family Drive-In Theatre,Ruskin,FL,27.7367118,-82.4275784,Southeast,Hillsborough County,,
93405,Sunset Drive-in,San Luis Obispo,CA,35.2588082,-120.6723609,West,San Luis Obispo County,,
54212,Skyway Drive-In Theatre,Fish Creek,WI,45.138031,-87.1979808,Midwest,,,
13115,Midway Drive-In Theatre,Minetto,NY,43.3817641,-76.4567015,Mid-Atlantic,,,
14530,Silver Lake Twin Drive-In,Perry,NY,42.6996534,-78.0169893,Mid-Atlantic,,,
12804,Glen Drive In Theater,Queensbury,NY,43.3395453,-73.6834741,Mid-Atlantic,,,
13601,Black River Drive-In,Watertown,NY,44.0030062,-75.8105626,Mid-Atlantic,Jefferson County,,
20473,Starlight Drive-In,Christiansburg,VA,37.1305522,-80.3810811,Mid-Atlantic,Montgomery County,,
80526,Holiday Twin Drive-in Theatre,Fort Collins,CO,40.5572867,-105.1306351,Mountain,,,
97132,99W Drive-in Theater,Newberg,OR,45.3048764,-122.9480574,West,,,
45309,Melody 49 Drive-In Theatre,Clay Township,OH,39.8595858,-84.3780617,Midwest,Montgomery County,,
93637,Madera Drive-In Cinema 2,Madera,CA,36.9717396,-120.0692419,West,Madera County,,
73044,Beacon Drive in Theater,Guthrie,OK,35.8535191,-97.4242322,South Central,,,
45102,Starlite Drive-In,Amelia,OH,39.0048687,-84.1620765,Midwest,,,
45013,Holiday Auto Theatre,Hanover Township,OH,39.4310307,-84.6222378,Midwest,Butler County,,
92503,Van Buren Drive-in Theater,Riverside,CA,33.9113745,-117.4361559,West,Riverside County,,
13428,El Rancho Drive-in,Village of Nelliston,NY,42.9185269,-74.5930024,Mid-Atlantic,Montgomery County,,
98584,Skyline Drive-In Theater,Shelton,WA,47.1459261,-123.0933619,West,,,
