zip,name,city,state,latitude,longitude,region,county,ugc_codes,cwa
38118,Distribution Center - Memphis,Memphis,TN,35.0420,-89.9767,Central,Shelby,,
40258,Regional Warehouse - Louisville,Louisville,KY,38.1439,-85.8364,Central,Jefferson,,
75261,Distribution Center - Dallas,Dallas,TX,32.8471,-96.8517,Central,Dallas,,
60018,Regional Warehouse - Chicago,Des Plaines,IL,42.0093,-87.8801,Central,Cook,,
43217,Distribution Center - Columbus,Columbus,OH,39.9042,-82.8833,East,Franklin,,
07114,Port Facility - Newark,Newark,NJ,40.7068,-74.1724,East,Essex,,
31402,Port Facility - Savannah,Savannah,GA,32.0809,-81.0912,East,Chatham,,
23185,Distribution Center - Hampton Roads,Williamsburg,VA,37.2707,-76.7075,East,James City,,
17011,Regional Warehouse - Harrisburg,Camp Hill,PA,40.2398,-76.9200,East,Cumberland,,
46241,Distribution Center - Indianapolis,Indianapolis,IN,39.7268,-86.2860,Central,Marion,,
64153,Regional Warehouse - Kansas City,Kansas City,MO,39.2733,-94.6559,Central,Platte,,
30354,Distribution Center - Atlanta,Atlanta,GA,33.6407,-84.4277,East,Fulton,,
91761,Regional Warehouse - Ontario,Ontario,CA,34.0395,-117.6028,West,San Bernardino,,
98032,Distribution Center - Kent,Kent,WA,47.3809,-122.2348,West,King,,
85043,Regional Warehouse - Phoenix,Phoenix,AZ,33.4342,-112.1401,West,Maricopa,,
80249,Distribution Center - Denver,Denver,CO,39.7817,-104.8076,Central,Denver,,
77032,Regional Warehouse - Houston,Houston,TX,29.9705,-95.3350,Central,Harris,,
28269,Distribution Center - Charlotte,Charlotte,NC,35.3393,-80.7588,East,Mecklenburg,,
36608,Port Facility - Mobile,Mobile,AL,30.6632,-88.1514,East,Mobile,,
95206,Distribution Center - Stockton,Stockton,CA,37.9252,-121.2908,West,San Joaquin,,
89030,Regional Warehouse - Las Vegas,North Las Vegas,NV,36.2188,-115.1175,West,Clark,,
37086,Distribution Center - Nashville,La Vergne,TN,36.0163,-86.5819,Central,Rutherford,,
18017,Regional Warehouse - Lehigh Valley,Bethlehem,PA,40.6259,-75.3705,East,Northampton,,
21090,Distribution Center - Baltimore,Linthicum Heights,MD,39.2045,-76.6633,East,Anne Arundel,,
97060,Port Facility - Portland,Troutdale,OR,45.5399,-122.3878,West,Multnomah,,
33811,Regional Warehouse - Lakeland,Lakeland,FL,28.0066,-81.9717,East,Polk,,
72209,Distribution Center - Little Rock,Little Rock,AR,34.6869,-92.3546,Central,Pulaski,,
