zip,name,city,state,latitude,longitude,region,county,ugc_codes,cwa
99676,Talkeetna Ranger Station (NPS),Talkeetna,AK,62.3224443,-150.1171117,Alaska,,,
35976,Lake Guntersville State Park Office,Guntersville,AL,34.4007379,-86.2072741,Southeast,Marshall County,,
71913,Lake Catherine State Park Office,Hot Springs,AR,34.4379216,-92.9179984,South Central,,,
85355,Whte Tank Nature Center,Waddell,AZ,33.5668533,-112.4978694,Southwest,,,
91006,Angeles National Forest Service Center,Arcadia,CA,34.1472289,-118.0350672,West,,,
81302,San Juan Public Lands Center,Durango,CO,37.2731362,-107.8932344,Mountain,,,
06376,Ranger Station,East Lyme,CT,41.3133755,-72.2436266,Northeast,Southeastern Connecticut Planning Region,,
33624,Ranger Station,Carrollwood,FL,28.0704309,-82.5253528,Southeast,Hillsborough County,,
30553,Tugaloo State Park Ranger Office,Lavonia,GA,34.4975919,-83.0770712,Southeast,,,
52214,Ranger Station,Waubeek,IA,42.1891897,-91.4573286,Midwest,Linn County,,
83327,Fairfield Ranger Station,Fairfield,ID,43.3426054,-114.7895906,Mountain,,,
62471,Carlyle Lake Wildlife Management Area,Vandalia,IL,38.8429894,-89.1931394,Midwest,,,
46356,Ranger Station,Cedar Creek Township,IN,41.2832554,-87.3771751,Midwest,Lake County,,
66219,Johnson County Park Police,Shawnee,KS,38.9857675,-94.7823518,Midwest,Johnson County,,
70501,Acadiana Park Nature Station Office,Lafayette,LA,30.256014,-91.98872,South Central,Lafayette Parish,,
02740,New Bedford Whaling National Historical Park Visitor Center,New Bedford,MA,41.6358254,-70.9240919,Northeast,,,
21210,Ranger Station,Roland Park,MD,39.3786793,-76.6447406,Mid-Atlantic,,,
04765,Ranger Station,Patten,ME,46.1284898,-68.7192985,Northeast,,,
49738,Grayling Field Office,Grayling,MI,44.7131988,-84.7039082,Midwest,,,
55760,Sandy Lake Forestry Office,McGregor,MN,46.737919,-93.2637363,Midwest,,,
65233,Big Muddy National Fish and Wildlife Refuge Headquarters,Boonville,MO,38.9548858,-92.6113788,Midwest,,,
39120,Visitor Contact Station,Natchez,MS,31.5432168,-91.382755,Southeast,,,
59460,Coal Banks Landing BLM Office,Loma,MT,48.0320787,-110.2357699,Mountain,,,
28906,Tusquitee Ranger District Office,Murphy,NC,35.0794416,-84.0299278,Southeast,,,
58013,Visitor Center,Cayuga,ND,46.0010578,-97.3723889,Midwest,,,
03580,Cannon Mountain Administrative Offices,Franconia,NH,44.17304,-71.6925631,Northeast,,,
08087,Forest Office,Tuckerton,NJ,39.6210794,-74.4225977,Mid-Atlantic,,,
87901,Black Range Ranger Station,Truth or Consequences,NM,33.1481604,-107.2483127,Southwest,,,
89503,Ranger Station,Reno,NV,39.5187902,-119.8465273,West,Washoe County,,
13614,Jacques Cartier State Park,Town of Morristown,NY,44.5589009,-75.6789122,Mid-Atlantic,Saint Lawrence County,,
44094,Ranger Field Office,Willoughby Hills,OH,41.5699926,-81.4377106,Midwest,,,
73507,City of Lawton Lake Lawtonka Headquarters,Lawton,OK,34.7455834,-98.4844334,South Central,,,
97443,"US Forest Station, North Umpqua Ranger Station",Glide,OR,43.2983977,-123.10005,West,,,
16327,Erie National Wildlife Refuge Headquarters/Visitor Center,Guys Mills,PA,41.6267332,-79.9598032,Mid-Atlantic,,,
02840,Budlong Station,Newport,RI,41.450857,-71.3542841,Northeast,Newport County,,
29635,Ranger Station,Caesars Head,SC,35.1058138,-82.6260557,Southeast,Greenville County,,
57783,Northern Hills Ranger Station,Spearfish,SD,44.5046512,-103.8602222,Midwest,,,
37738,Greenbrier Quarters & Ranger Station,Gatlinburg,TN,35.7295691,-83.4061631,Southeast,,,
75020,Eisenhower State Park Headquarters,Denison,TX,33.8103258,-96.5999886,South Central,,,
84532,Moab Ranger District,Moab,UT,38.5746026,-109.549572,Mountain,,,
22952,Ranger Station,Lyndhurst,VA,37.9284409,-78.9830007,Mid-Atlantic,,,
05602,Park Caretaker Residence,Montpelier,VT,44.2716229,-72.5779888,Northeast,Washington County,,
99026,Ranger Station,Nine Mile Falls,WA,47.7764009,-117.5473626,West,,,
54121,"Florence Ranger District, Chequamegon-Nicolet National Forest",Florence,WI,45.9223775,-88.2610297,Midwest,,,
25907,Grandview Visitor Center,Grandview,WV,37.830478,-81.0633321,Mid-Atlantic,Raleigh County,,
82941,Pinedale Ranger Station,Pinedale,WY,42.8672798,-109.8549138,Mountain,,,
99559,Yukon Delta National Refuge Visitor Center & Headquarters,Bethel,AK,60.7891678,-161.7806274,Alaska,,,
36420,Conecuh National Forest Ranger Station,Andalusia,AL,31.2776513,-86.4889984,Southeast,,,
72732,Pea Ridge National Military Park Visitor Center,Garfield,AR,36.4438189,-94.025595,South Central,,,
86023,Grand Canyon Visitor Center (South Rim),Grand Canyon Village,AZ,36.0591195,-112.1093345,Southwest,,,
95321,Groveland Ranger District Office,Groveland,CA,37.8221937,-120.0987449,West,,,
81122,Columbine Ranger District,Bayfield,CO,37.2271039,-107.6007592,Mountain,,,
34114,Collier-Seminole State Park Entrance Station,Naples,FL,25.9916478,-81.5916998,Southeast,,,
39823,Park Office,Blakely,GA,31.4683588,-84.948353,Southeast,,,
52203,Ranger Station,Cou Falls,IA,41.8137072,-91.6798529,Midwest,Johnson County,,
83554,Salmon River Ranger District / Slate Creek Ranger Station,White Bird,ID,45.637769,-116.2817969,Mountain,,,
62441,Park Office,Marshall,IL,39.3470425,-87.703604,Midwest,,,
46304,Indiana Dunes Park Headquarters Complex,Porter,IN,41.6318899,-87.0881582,Midwest,,,
70816,Ranger Station,Baton Rouge,LA,30.4249935,-91.027918,South Central,East Baton Rouge Parish,,
01742,Walden Pond Visitor Center,Concord,MA,42.4403086,-71.3338738,Northeast,,,
21220,Ranger Station,Middle River,MD,39.3617364,-76.3548664,Mid-Atlantic,,,
04679,Seawall Campground,Southwest Harbor,ME,44.2405866,-68.3041487,Northeast,,,
48624,Gladwin Field Office,Gladwin,MI,43.9873163,-84.4866134,Midwest,,,
56761,Hayes lake Park Office,Wannaska,MN,48.6377093,-95.5456484,Midwest,,,
64016,Lake City Shooting Range,Buckner,MO,39.0739889,-94.2447533,Midwest,Jackson County,,
59919,Hungry Horse Ranger Station,Hungry Horse,MT,48.3839354,-114.0541947,Mountain,,,
28711,Craggy Gardens Visitor’s Center;Craggy Gardens,Black Mountain,NC,35.7002784,-82.3796369,Southeast,,,
03290,Pawtuckaway State Park Office,Nottingham,NH,43.0781231,-71.1725888,Northeast,,,
08873,Colonial Park Ranger Station,Franklin Township,NJ,40.5102084,-74.5662904,Mid-Atlantic,Somerset County,,
88347,Forest Service Sacramento Admin Site,Sacramento,NM,32.7932212,-105.5582971,Southwest,,,
89426,Santa Rosa Ranger District,Paradise Valley,NV,41.4891926,-117.5343318,West,,,
12827,Camp Wakpominee Ranger Station,Fort Ann,NY,43.4577841,-73.5810392,Mid-Atlantic,,,
