zip,name,city,state,latitude,longitude,region,county,ugc_codes,cwa
10001,Metro Store #101,New York,NY,40.7484,-73.9967,Northeast,New York,,
02108,Metro Store #102,Boston,MA,42.3541,-71.0693,Northeast,Suffolk,,
19103,Metro Store #103,Philadelphia,PA,39.9526,-75.1652,Northeast,Philadelphia,,
20001,Metro Store #104,Washington,DC,38.9120,-77.0160,Northeast,District of Columbia,,
21201,Metro Store #105,Baltimore,MD,39.2904,-76.6122,Northeast,Baltimore City,,
06103,Metro Store #106,Hartford,CT,41.7658,-72.6734,Northeast,Hartford,,
33131,Metro Store #201,Miami,FL,25.7617,-80.1918,Southeast,Miami-Dade,,
30303,Metro Store #202,Atlanta,GA,33.7537,-84.3863,Southeast,Fulton,,
28202,Metro Store #203,Charlotte,NC,35.2271,-80.8431,Southeast,Mecklenburg,,
37203,Metro Store #204,Nashville,TN,36.1540,-86.7844,Southeast,Davidson,,
32801,Metro Store #205,Orlando,FL,28.5383,-81.3792,Southeast,Orange,,
60601,Metro Store #301,Chicago,IL,41.8819,-87.6278,Midwest,Cook,,
48226,Metro Store #302,Detroit,MI,42.3314,-83.0458,Midwest,Wayne,,
55401,Metro Store #303,Minneapolis,MN,44.9778,-93.2650,Midwest,Hennepin,,
43215,Metro Store #304,Columbus,OH,39.9612,-82.9988,Midwest,Franklin,,
63101,Metro Store #305,St. Louis,MO,38.6270,-90.1994,Midwest,St. Louis City,,
46204,Metro Store #306,Indianapolis,IN,39.7684,-86.1581,Midwest,Marion,,
85004,Metro Store #401,Phoenix,AZ,33.4484,-112.0740,Southwest,Maricopa,,
78205,Metro Store #402,San Antonio,TX,29.4241,-98.4936,Southwest,Bexar,,
75201,Metro Store #403,Dallas,TX,32.7872,-96.7985,Southwest,Dallas,,
87102,Metro Store #404,Albuquerque,NM,35.0844,-106.6504,Southwest,Bernalillo,,
89101,Metro Store #405,Las Vegas,NV,36.1699,-115.1398,Southwest,Clark,,
90012,Metro Store #501,Los Angeles,CA,34.0522,-118.2437,West Coast,Los Angeles,,
94105,Metro Store #502,San Francisco,CA,37.7893,-122.3892,West Coast,San Francisco,,
98101,Metro Store #503,Seattle,WA,47.6062,-122.3321,West Coast,King,,
97204,Metro Store #504,Portland,OR,45.5155,-122.6789,West Coast,Multnomah,,
92101,Metro Store #505,San Diego,CA,32.7157,-117.1611,West Coast,San Diego,,
